location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,positive_rate,total_vaccinations,total_vaccinations_per_hundred
Afghanistan,153148,7116,3844.517,178.635,,,
Africa,7767686,195499,5655.451,142.338,,102207774,7.44
Albania,145333,2495,50586.961,868.45,,1458048,50.75
Algeria,195574,5240,4383.433,117.445,,,
Andorra,15032,130,194327.378,1680.585,0.026,,
Angola,47331,1210,1394.812,35.658,,,
Anguilla,,,,,,,
Antigua and Barbuda,1713,44,17350.701,445.669,,74637,75.6
Argentina,5178889,111607,113557.626,2447.209,0.05,41930538,91.94
Armenia,241611,4830,81401.813,1627.288,0.082,,
Aruba,,,,,,147653,137.74
Asia,69871261,1034860,14934.719,221.197,,3521152971,75.26
Australia,53868,1006,2088.861,39.01,0.005,19329147,74.95
Austria,687076,10782,75978.163,1192.294,0.004,10498444,116.09
Azerbaijan,421103,5592,41190.339,546.983,0.218,6689031,65.43
Bahamas,18139,354,45700.076,891.881,,,
Bahrain,272453,1388,155839.261,793.916,0.005,2485464,142.17
Bangladesh,1497261,26109,9003.184,156.996,0.136,,
Barbados,4931,49,17138.905,170.312,,204266,71
Belarus,480364,3768,50870.567,399.031,0.083,,
Belgium,1182810,25374,101682.947,2181.334,0.054,16225302,139.48
Belize,16220,359,40057.79,886.606,0.05,237507,58.66
Benin,13366,128,1073.485,10.28,,,
Bermuda,,,,,,,
Bhutan,2595,3,3327.35,3.847,,1045074,134
Bolivia,490467,18429,41449.307,1557.433,0.074,5950132,50.28
Bonaire Sint Eustatius and Saba,,,,,,,
Bosnia and Herzegovina,213379,9792,65384.305,3000.497,0.199,,
Botswana,156927,2261,65461.531,943.168,0.331,,
Brazil,20752281,579574,96976.248,2708.373,,191515901,89.5
British Virgin Islands,,,,,,,
Brunei,2641,8,5981.446,18.119,,,
Bulgaria,453689,18840,65783.92,2731.759,0.068,2299118,33.34
Burkina Faso,13768,171,640.459,7.955,,,
Burundi,11994,38,978.668,3.101,,,
Cambodia,92616,1892,5465.217,111.646,,18912634,111.6
Cameroon,83425,1350,3064.362,49.588,,428255,1.57
Canada,1504157,26972,39512.463,708.523,0.042,53415585,140.32
Cape Verde,35283,310,62792.2,551.699,,,
Cayman Islands,,,,,,,
Central African Republic,11270,99,2290.656,20.122,,,
Chad,4991,174,295.064,10.287,,55598,0.33
Chile,1638330,36923,85274.783,1921.836,0.011,28848907,150.16
